destination,country,region,type,budget_level,ideal_duration,best_season,best_for,top_areas,top_activities,food_experiences,transport_notes,safety_note,pros,cons,source_urls
Lisbon,Portugal,Western Europe,"culture;city break;food",medium,"3-5 days","spring;autumn","culture lovers;foodies;walkable city explorers","Alfama;Baixa-Chiado;Belém;LX Factory;Mouraria","historic tram rides (28E);viewpoints (miradouros);Jerónimos Monastery;Fado music shows;Sintra day trip","pastéis de nata;bacalhau;bifanas;ginjinha;petiscos at local tascas","walkable but hilly;use metro and trams;Uber widely available;avoid taxis for short trips","generally safe;beware pickpockets in trams and tourist areas;Alfama can be slippery at night","affordable by W. European standards;rich history and culture;beautiful viewpoints;great food scene;day trips to Sintra and Cascais","hilly streets tiring for some;very crowded in summer;some areas touristy;biometric EES entry system launching 2026 for non-EU","https://www.visitlisboa.com;https://www.lonelyplanet.com/portugal/lisbon;https://www.tripadvisor.com/Tourism-g189158-Lisbon_Lisbon_District_Central_Portugal-Vacations.html"
Rome,Italy,Southern Europe,"culture;history;food",medium-high,"4-6 days","spring;autumn","history buffs;food lovers;architecture enthusiasts","Historic Centre;Trastevere;Prati;Testaccio;Vatican","Colosseum and Roman Forum;Vatican Museums and Sistine Chapel;Pantheon;Trevi Fountain;neighbourhood walks in Trastevere","cacio e pepe;carbonara;supplì;gelato;artichokes alla romana;espresso at a bar standing up","metro limited but useful;buses and trams cover most areas;walking is best in centre;Uber available;validate tickets always","generally safe;watch for pickpockets near major monuments and on buses;scams around tourist sites","unrivalled history and monuments;world-class cuisine;neighbourhoods full of character;vibrant nightlife","very crowded at top attractions year-round;summer heat intense;tourist traps near landmarks;booking ahead essential","https://www.turismoroma.it;https://www.lonelyplanet.com/italy/rome;https://www.tripadvisor.com/Tourism-g187791-Rome_Lazio-Vacations.html"
Istanbul,Turkey,Western Asia / Southeast Europe,"culture;history;food;shopping",low-medium,"4-6 days","spring;autumn","history lovers;food travelers;culture seekers;shoppers","Sultanahmet;Beyoğlu;Karaköy;Kadıköy;Nişantaşı;Balat","Hagia Sophia;Topkapı Palace;Grand Bazaar;Bosphorus cruise;Spice Bazaar;Galata Tower","simit;döner kebab;baklava;meze at a meyhane;Turkish breakfast spread;iskender kebab;balık ekmek by the Bosphorus","extensive metro and tram network;İstanbulkart smartcard for all transport;ferries cross the Bosphorus;taxis metered but verify","generally safe for tourists;keep valuables secure in Bazaar area;usual urban precautions apply","affordable compared to Western Europe;stunning blend of cultures and history;incredible food;vibrant neighbourhoods on both sides of the Bosphorus","can feel overwhelming in size;tourist scams in bazaar areas;language barrier outside tourist zones;traffic congestion","https://www.goturkey.com/city/istanbul;https://www.lonelyplanet.com/turkey/istanbul;https://www.tripadvisor.com/Tourism-g293974-Istanbul-Vacations.html"
Marrakech,Morocco,North Africa,"culture;souks;desert gateway;food",low-medium,"3-5 days","spring;autumn","culture seekers;adventure travelers;photographers;wellness tourists","Medina;Jemaa el-Fna;Gueliz;Mellah;Palmeraie","Djemaa el-Fna square at sunset;souks exploration;Bahia Palace;Majorelle Garden;hammam experience;Atlas Mountains day trip","tagine;couscous;pastilla;harira soup;fresh-squeezed orange juice at Jemaa el-Fna;mint tea","petit taxis (agree fare first);calèches (horse carriages);walking in Medina;day trip minibuses to Atlas","generally safe;haggling expected in souks;be aware of unofficial guides;dress modestly in Medina","vibrant atmosphere;rich cultural immersion;great base for Atlas and Sahara day trips;affordable luxury riads;exotic food","intense hustle in Medina;heat in summer;aggressive touts near main square;getting lost in souks common","https://www.visitmorocco.com/en/travel/marrakech;https://www.lonelyplanet.com/morocco/marrakesh;https://www.tripadvisor.com/Tourism-g293734-Marrakech_Marrakech_Tensift_El_Haouz_Region-Vacations.html"
Barcelona,Spain,Southern Europe,"culture;beach;architecture;nightlife;food",medium-high,"4-6 days","spring;early autumn","architecture lovers;foodies;beach goers;nightlife seekers","Gothic Quarter;Eixample;Gràcia;El Born;Barceloneta","Sagrada Família;Park Güell;La Boqueria market;Picasso Museum;beach walks;FC Barcelona stadium tour","pan con tomate;tapas;paella;patatas bravas;jamón;vermouth in a local bar;seafood along the coast","excellent metro network;buses;Bicing bike sharing;walkable centre;airport train (Aerobus or R2 Norte)","generally safe;pickpockets active on Las Ramblas and metro;avoid leaving bags unattended at beach","world-class architecture;lively food and nightlife scene;beach in the city;strong cultural identity;vibrant neighbourhoods","very touristy and crowded in summer;high cost of living creeping into tourism;overtourism debate ongoing;Las Ramblas underwhelming","https://www.barcelona.cat/turisme/en;https://www.lonelyplanet.com/spain/barcelona;https://www.tripadvisor.com/Tourism-g187497-Barcelona_Catalonia-Vacations.html"
Paris,France,Western Europe,"culture;romance;art;food;fashion",high,"4-7 days","spring;early autumn","art lovers;romantics;foodies;fashion enthusiasts","Le Marais;Saint-Germain-des-Prés;Montmartre;Latin Quarter;Canal Saint-Martin","Eiffel Tower;Louvre Museum;Musée d'Orsay;Notre-Dame Cathedral;strolling along the Seine;Versailles day trip","croissant and café au lait;steak-frites;French onion soup;crêpes;macarons;wine and cheese picnic by the Seine","extensive Métro and RER network;Vélib bike sharing;walkable in centre;CDG airport well connected by RER B","generally safe;pickpockets common near Eiffel Tower and on metro;avoid unofficial taxi touts at airports","iconic and unrivalled cultural heritage;world-class museums;exceptional food and café culture;romantic atmosphere;great rail links across Europe","expensive;very crowded at top attractions;can feel rushed without planning;some tourist areas feel impersonal","https://www.parisinfo.com;https://www.lonelyplanet.com/france/paris;https://www.tripadvisor.com/Tourism-g187147-Paris_Ile_de_France-Vacations.html"
Tunis,Tunisia,North Africa,"culture;history;Mediterranean;food",low,"2-4 days","spring;autumn","history enthusiasts;culture travelers;budget explorers;off-the-beaten-path seekers","Medina (UNESCO);Sidi Bou Saïd;La Marsa;Carthage;La Goulette","Tunis Medina souks;Al-Zaytuna Mosque;Bardo National Museum (world's largest mosaic collection);Carthage ruins;Sidi Bou Saïd blue-and-white village","brik (crispy egg pastry);lablabi (chickpea stew);fricassé (fried tuna sandwich);couscous with lamb or fish;bambalouni doughnuts;fresh mint tea","use Bolt app or metered yellow taxis;TGM train connects Tunis centre to Sidi Bou Saïd;La Marsa and Carthage;cash-heavy society;TND is a closed currency","generally safe for tourists;exercise normal urban caution in Medina;carry cash as cards rarely accepted","very affordable;rich layered history (Phoenician;Roman;Arab;Ottoman;French);authentic atmosphere with few crowds;short distances between key sites","limited card payment acceptance;language barrier (Arabic and French dominant);tourist infrastructure less developed than neighbouring Morocco;some areas require taxi hops","https://www.lonelyplanet.com/articles/best-places-to-visit-in-tunisia;https://gowithguide.com/blog/15-best-things-to-do-in-tunis-tunisia-complete-travel-guide-for-visitors-5949;https://www.tripadvisor.com/Attractions-g293753-Activities-Tunisia.html"
Tokyo,Japan,East Asia,"culture;food;technology;nature;shopping",medium-high,"6-9 days","spring (cherry blossom);autumn","foodies;culture lovers;tech enthusiasts;anime fans;nature seekers","Shinjuku;Shibuya;Asakusa;Harajuku;Akihabara;Yanaka","Senso-ji Temple in Asakusa;Shibuya Crossing;teamLab digital art museums;Tsukiji Outer Market;day trips to Mt Fuji or Nikko","sushi breakfast at Tsukiji;ramen;tempura;yakitori;wagyu beef;conveyor belt sushi;matcha sweets;izakaya dining","excellent metro and JR rail network;get an IC card (Suica/Pasmo);easy Shinkansen access to Kyoto and Osaka;taxis expensive","very safe;low petty crime;clean and orderly;tourist-friendly infrastructure","extremely safe;incredibly efficient transport;world-class food scene;unique cultural contrasts old vs new;polite and welcoming locals","expensive accommodation;language barrier despite good signage;can feel overwhelming for first-timers;cash still widely used","https://www.gotokyo.org/en;https://www.lonelyplanet.com/japan/tokyo;https://www.tripadvisor.com/Tourism-g298184-Tokyo_Tokyo_Prefecture_Kanto-Vacations.html"
Dubai,United Arab Emirates,Middle East,"luxury;shopping;architecture;desert;beach",high,"3-5 days","autumn;winter;spring","luxury travelers;families;shopping enthusiasts;adventure seekers","Downtown Dubai;Dubai Marina;Jumeirah;Deira;Palm Jumeirah;Al Fahidi Historic District","Burj Khalifa observation deck;Dubai Mall;desert safari and dune bashing;Dubai Creek gold and spice souks;Dubai Opera;Palm Jumeirah","shawarma;Al Harees;Mandi rice;mezze at a Lebanese restaurant;fresh seafood at the creek;international fine dining","excellent metro covering key tourist areas;taxis affordable and widely available;Uber operational;RTA app for transit info","very safe;low crime rate;strict laws apply to tourists (alcohol in licensed venues only;dress modestly in public areas)","ultra-modern skyline;world-class infrastructure;tax-free shopping;year-round events;safe for families","very expensive;extreme summer heat (June-Sept);cultural restrictions to be mindful of;can feel artificial or transient","https://www.visitdubai.com;https://www.lonelyplanet.com/united-arab-emirates/dubai;https://www.tripadvisor.com/Tourism-g295424-Dubai_Emirate_of_Dubai-Vacations.html"
Bali,Indonesia,Southeast Asia,"nature;culture;wellness;beach;surf",low-medium,"7-14 days","dry season (May-September)","wellness seekers;surfers;culture lovers;digital nomads;honeymooners","Ubud;Seminyak;Canggu;Uluwatu;Nusa Dua;Amed","Tanah Lot and Uluwatu temples;rice terrace walks in Tegallalang;yoga and wellness retreats in Ubud;surfing at Kuta and Canggu;traditional Kecak dance performance","nasi goreng;mie goreng;babi guling (suckling pig);satay;tempeh;fresh tropical fruit;Balinese coffee","renting a scooter is common for locals;hire a private driver for flexibility and safety;Grab (ride-hailing) works in main areas;roads can be congested in south Bali","generally safe;take normal precautions;avoid buying drugs;strong rip currents at some beaches;drink only bottled water","stunning natural scenery;rich spiritual culture;very affordable;world-class wellness and yoga scene;strong expat and digital nomad community","very touristy in south Bali;traffic in Seminyak and Canggu;rainy season Nov-March;some areas lose authentic charm;Bali belly risk from food hygiene","https://www.indonesia.travel/gb/en/destinations/bali-nusa-tenggara/bali;https://www.lonelyplanet.com/indonesia/bali;https://www.tripadvisor.com/Tourism-g294226-Bali-Vacations.html"
